0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/apex_chart/apexcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/apex_chart/bar_active_1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/apex_chart/apex_chart_list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/bell.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/icon_search.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/client_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/man.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/wheel.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/cap.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/themefy_icon/fonts/themify9f24.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/datatable/js/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/font_awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/icon/pharma.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/datatable/js/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/img/diamond.png HTTP/1.1" 304 -
